,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team,,Confidence Value,,0.95,,,,,,,,,
300,3,540,1,17,-5,25,loser,blue,0,,,,,,,,,,,,,
301,6,380,6,33,18,25,loser,red,1,,,,,,,,,,,,,
302,5,180,3,75,25,25,loser,yellow,0,,,,,,,,,,,,,
303,3,180,7,35,52,25,winner,green,1,,,,,,,,,,,,,
304,8,280,5,31,9,24,loser,blue,0,,,,,,,,,,,,,
305,2,80,6,37,42,24,loser,red,1,,,,,,,,,,,,,
306,8,100,4,45,-1,24,loser,yellow,0,,,,,,,,,,,,,
307,5,180,8,67,53,24,winner,green,1,,,,,,,,,,,,,
308,5,860,5,33,21,23,loser,blue,0,,,,,,,,,,,,,
309,6,460,7,49,32,23,loser,red,1,,,,,,,,,,,,,
310,8,640,3,55,9,23,loser,yellow,0,,,,,,,,,,,,,
311,4,500,8,70,51,23,winner,green,1,,,,,,,,,,,,,
312,6,440,4,28,5,22,loser,blue,0,,,,,,,,,,,,,
313,3,100,4,24,26,22,loser,red,1,,,,,,,,,,,,,
314,3,400,6,46,50,22,winner,yellow,0,,,,,,,,,,,,,
315,3,260,1,9,-7,22,loser,green,1,,,,,,,,,,,,,
316,5,80,4,24,12,21,loser,blue,0,,,,,,,,,,,,,
317,7,240,11,58,51,21,winner,red,1,,,,,,,,,,,,,
318,11,500,9,48,34,21,loser,yellow,0,,,,,,,,,,,,,
319,5,200,4,34,11,21,loser,green,1,,,,,,,,,,,,,
320,8,580,6,42,34,20,loser,blue,0,,,,,,,,,,,,,
321,10,520,10,79,51,20,winner,red,1,,,,,,,,,,,,,
322,6,520,5,61,29,20,loser,yellow,0,,,,,,,,,,,,,
323,6,780,9,49,39,20,loser,green,1,,,,,,,,,,,,,
324,6,140,5,13,5,19,loser,blue,0,,,,,,,,,,,,,
325,4,40,3,14,8,19,loser,red,1,,,,,,,,,,,,,
326,4,200,7,47,50,19,winner,yellow,0,,,,,,,,,,,,,
327,2,340,2,10,5,19,loser,green,1,,,,,,,,,,,,,
328,7,800,5,23,5,18,loser,blue,0,,,,,,,,,,,,,
329,4,240,5,31,35,18,loser,red,1,,,,,,,,,,,,,
330,12,620,10,70,28,18,loser,yellow,0,,,,,,,,,,,,,
331,8,440,11,69,50,18,winner,green,1,,,,,,,,,,,,,
332,5,80,4,16,6,17,loser,blue,0,,,,,,,,,,,,,
333,5,160,3,16,4,17,loser,red,1,,,,,,,,,,,,,
334,6,40,6,27,25,17,loser,yellow,0,,,,,,,,,,,,,
335,4,140,7,52,54,17,winner,green,1,,,,,,,,,,,,,
336,3,80,4,20,18,16,loser,blue,0,,,,,,,,,,,,,
337,7,800,5,29,9,16,loser,red,1,,,,,,,,,,,,,
338,3,180,4,31,22,16,loser,yellow,0,,,,,,,,,,,,,
339,8,740,9,73,52,16,winner,green,1,,,,,,,,,,,,,
340,7,320,5,23,8,15,loser,blue,0,,,,,,,,,,,,,
341,5,380,10,45,53,15,winner,red,1,,,,,,,,,,,,,
342,3,280,3,26,17,15,loser,yellow,0,,,,,,,,,,,,,
343,7,140,5,48,6,15,loser,green,1,,,,,,,,,,,,,
344,8,380,9,40,32,14,loser,blue,0,,,,,,,,,,,,,
345,8,220,6,53,11,14,loser,red,1,,,,,,,,,,,,,
346,5,360,5,46,29,14,loser,yellow,0,,,,,,,,,,,,,
347,5,560,7,50,50,14,winner,green,1,,,,,,,,,,,,,
348,2,140,1,19,11,13,loser,blue,0,,,,,,,,,,,,,
349,3,300,1,12,-9,13,loser,red,1,,,,,,,,,,,,,
350,2,80,0,10,-3,13,loser,yellow,0,,,,,,,,,,,,,
351,0,280,6,30,51,13,winner,green,1,,,,,,,,,,,,,
352,3,240,2,24,11,12,loser,blue,0,,,,,,,,,,,,,
353,2,240,6,39,51,12,winner,red,1,,,,,,,,,,,,,
354,4,1000,2,26,-5,12,loser,yellow,0,,,,,,,,,,,,,
355,4,420,3,25,3,12,loser,green,1,,,,,,,,,,,,,
356,3,180,2,25,21,11,loser,blue,0,,,,,,,,,,,,,
357,10,280,11,77,51,11,winner,red,1,,,,,,,,,,,,,
358,13,780,12,70,30,11,loser,yellow,0,,,,,,,,,,,,,
359,6,380,7,44,35,11,loser,green,1,,,,,,,,,,,,,
360,7,320,4,20,4,10,loser,blue,0,,,,,,,,,,,,,
361,5,340,9,41,51,10,winner,red,1,,,,,,,,,,,,,
362,3,440,5,37,24,10,loser,yellow,0,,,,,,,,,,,,,
363,5,520,3,26,2,10,loser,green,1,,,,,,,,,,,,,
364,6,440,3,20,-6,9,loser,blue,0,,,,,,,,,,,,,
365,7,200,8,65,50,9,winner,red,1,,,,,,,,,,,,,
366,7,540,9,52,44,9,loser,yellow,0,,,,,,,,,,,,,
367,5,280,5,42,15,9,loser,green,1,,,,,,,,,,,,,
368,3,120,4,25,28,8,loser,blue,0,,,,,,,,,,,,,
